"burglaries","police_patrols","avg_income","neighbourhood_watch","vacancy_rate","full_time_employment","avg_household_size","crime_rate"
124,8,48645.2060905122,0,0.0459466888220049,0.515878660371527,3.44058940446272,2.3155137494331
197,9,53218.0823994382,1,0.0554860915057361,0.573211772134528,2.02817454933801,5.00571209524445
45,14,38922.0844289064,0,0.0116582331480458,0.851536486996338,3.69978809270147,4.55734769366624
58,10,41384.169653551,0,0.106972528318875,0.532780354260467,2.97197202690687,4.97790834038125
18,10,30244.7580154214,0,0.0826384093612432,0.810903531149961,3.26245713965965,3.84916471745767
106,15,47256.1191744091,1,0.0203798094531521,0.968663682695478,3.31101661793553,3.6263686951146
268,11,56284.736073867,1,0.146124554111157,0.543947307392955,2.95165696339665,3.55845273635976
234,5,54864.5651624207,1,0.0842944738338701,0.986401754664257,2.96236840117564,4.57099096920045
44,4,38276.9526941787,1,0.118261407245882,0.51300535525661,3.50957853466545,7.73626529605725
43,13,38170.67043719,1,0.127337112638634,0.86261397600174,3.35580096124312,7.09817325311866
66,11,42467.0192248571,1,0.131706266209949,0.726853195810691,3.49513112302212,4.28004976411389
1325,11,72440.9100476953,1,0.120071456080768,0.783091202494688,4.19146334761516,1.62816709092252
26,10,32940.4456900138,1,0.0960222729714587,0.93636552314274,3.33220793184704,3.31083314292809
109,8,47314.226084297,0,0.0943391641136259,0.77728158980608,3.10369057869265,4.08447893351898
2436,15,78535.4273251839,0,0.0407113507040776,0.868826103629544,1.89468344471219,5.20727600845661
120,11,48485.3767200679,1,0.00449097381206229,0.81156458100304,4.34585700162306,3.67478544859837
21,3,29602.3894426791,1,0.0629796322435141,0.655514202895574,2.75866158910185,9.01336138166378
51,7,40028.4584708891,0,0.0533152006566524,0.696098242304288,4.1873673575477,4.4554649311633
294,6,57281.8996835732,1,0.0588496880955063,0.601043727714568,3.18732178400249,2.57211105952098
81,8,44365.9569249534,0,0.0257905248552561,0.926390194799751,3.7692150994484,4.71747648543497
60,6,41571.8545467533,0,0.0479463179013692,0.803415075410157,2.94514483941188,2.98924483681317
86,8,44841.2414880731,0,0.0620332596357912,0.878049006918445,3.25573537734906,5.31231141455065
163,4,51357.4497070883,0,0.113900354504585,0.781258404371329,3.10697898982113,5.46726722817974
1551,6,73977.6315671874,0,0.0407835307647474,0.637949506402947,2.90693965031325,5.71117522325677
125,6,48671.5233179167,0,0.017337368556764,0.867779201827943,2.93980308768875,1.75628348175157
711,8,66211.9924422728,1,0.00440049224998802,0.774639896932058,3.50641716792213,5.4414225819413
364,5,59461.3117347585,1,0.121028294682037,0.673063521971926,2.89927092651425,5.62090016108329
118,12,48295.4015674079,0,0.0720189654850401,0.757482817396522,1.9811587527796,2.15778310499102
13,12,27006.469956641,0,0.120937191043049,0.907883973792195,2.90205537558509,6.91073127946082
66,12,42183.2402367122,1,0.0118508522515185,0.763136284658685,3.26989530276814,6.56834175818867
67,12,42651.9432029229,1,0.0173006114317104,0.601520024938509,3.30822785817572,9.59923872230889
152,11,50707.3164914229,0,0.019412443425972,0.924053840222768,3.30828390873872,5.31340597475146
992,9,69502.9801650023,0,0.11081228130497,0.685247107525356,2.15394923956546,5.093467055036
4360,9,84396.1846074664,0,0.113564780016895,0.651662585441954,3.1843710290056,5.19317166816487
1424,8,73213.7158847565,1,0.148868296283763,0.885298523469828,3.48392960497353,5.1395324618006
118,7,48002.7355350658,0,0.0936829480924644,0.866724277497269,3.63828934073383,1.30305444932467
12,12,23652.0890666354,0,0.0433035162859596,0.919452999136411,2.88751936447794,1.65774588271551
77,9,44168.3020389239,1,0.0299867661553435,0.784524421207607,2.8390537069086,4.84492206641759
164,13,51338.1083460994,1,0.120137677306775,0.51314041914884,3.74391891593902,3.837865238867
503,7,62675.1950610115,1,0.10916440654546,0.743063614121638,2.16603597711034,5.10947305011485
605,8,64437.9195272641,0,0.0325571962050162,0.771340516395867,2.78158501154344,0.777583253478937
394,8,60264.641441247,0,0.111635775805917,0.918330058455467,3.22873103967873,2.00260349094648
18,12,29070.884753008,1,0.129998056241311,0.864332269062288,2.19111311730939,2.79703312212252
502,9,62744.6456845003,1,0.0794108634581789,0.777556903427467,3.13981393121588,6.97211644212049
74,10,43301.6417535917,1,0.0897957820328884,0.536707198712975,3.9389320105261,2.80301998581977
183,9,52622.0405024188,0,0.140644849848468,0.568251149612479,2.99796967328183,3.40097209284694
159,9,51118.267657606,0,0.142608614754863,0.84230434813071,2.86077298751821,5.15974763734811
264,14,56422.5014745576,1,0.0990798451937735,0.549810968106613,3.23745585701703,4.35450727634978
145,9,50370.1247423921,1,0.0108429871383123,0.601892952574417,2.86046391460635,5.29283435733592
12,14,24987.8735362151,0,0.123949736799113,0.682990069151856,3.40670018703953,9.61012396409138
427,5,61047.4394716016,0,0.0719316116999835,0.92309787881095,3.45221773222485,2.75079265748353
253,6,55790.3985252451,0,0.0586843175115064,0.618436297751032,3.00134583061506,4.38906072018039
95,10,46015.2256208267,1,0.0448684163508005,0.852438925299793,2.41165392112514,3.96648110051253
170,11,51772.1676657002,1,0.036646237433888,0.553804415394552,2.34088963627046,8.02479085366491
176,8,52010.5796805269,0,0.0632715197629295,0.889534434303641,2.70350131717234,3.46103015421944
196,8,53315.292028415,0,0.140665526536759,0.627552841673605,3.39869025027492,4.83582619244856
1647,6,74612.6924896623,1,0.0396727674873546,0.774021663004532,2.02089741267154,6.57426722864542
106,11,46714.2443159979,0,0.0852853131014854,0.516950760385953,2.05683742063373,2.8828189281032
177,13,52520.9807582699,0,0.0303276851540431,0.903054738068022,2.67311008761995,8.31035163148402
808,12,67525.7580960364,1,0.0289208440342918,0.668876403593458,3.19719742399029,6.35152483094849
692,11,65812.7153506538,0,0.10779176177457,0.958142929011956,2.5432169759175,2.85158678093929
786,12,67178.9466557054,1,0.0470276843290776,0.678553208941594,3.44337451854803,5.90915561811548
60,9,41337.9799841066,0,0.020758519100491,0.987682506558485,3.16668498507759,4.57338571353386
2827,9,80037.2409543924,0,0.00870460466248915,0.692189261317253,2.91468019088069,5.62645754398867
157,7,51000.5130639527,1,0.139664946170524,0.744336767587811,3.40941406826589,4.82004960596867
2297,7,78002.7776706029,1,0.0852507018134929,0.745388115639798,3.19418258140968,7.14103207355669
22,11,29736.4597095393,0,0.0176655540824868,0.506127312080935,2.77703248639392,2.29779922859333
145,9,50314.7537953136,1,0.0847191722248681,0.820736600318924,3.11555746720908,3.95476660560817
918,7,68748.7185645382,1,0.081038427434396,0.756287485826761,3.3237566789888,4.5016186444892
50,10,39271.3671916581,1,0.12295237777289,0.660176059114747,3.17814167243102,3.00840255029733
45,9,38709.6654767339,1,0.105446925584692,0.79071657883469,2.67099489602526,2.92008991246761
36,10,35921.9194458966,1,0.085162256041076,0.808672204148024,3.4276011025321,4.96403951884667
28,11,34212.3008099189,1,0.108196389942896,0.719137268839404,3.57646811277931,4.73564973428653
76,8,43442.607002294,1,0.112866632023361,0.585184490308166,3.13813727827167,-0.0986855495008641
234,12,54967.6875943847,0,0.0572133895126171,0.857540248311125,3.07205233123109,7.08114691143875
5,9,19786.8425311892,0,0.0432015421916731,0.873893274343573,2.96218745961008,5.49945147197038
194,11,53179.7065005844,1,0.0797524990746751,0.921957354061306,4.08070792315139,9.83241474629666
896,13,68550.1256962485,0,0.0389469107030891,0.767379523487762,3.1381577660679,6.37039647610219
2976,11,80563.6102736065,1,0.12476854766719,0.651117630768567,2.92085298565003,4.10608138207601
986,8,69517.6398830088,1,0.0608045827131718,0.728259091032669,1.74604109890137,10.5947822939162
436,13,61351.6214569394,0,0.0108947888365947,0.692171267233789,2.21735911748473,10.664452047831
11,13,24099.0440132851,0,0.143063793692272,0.624523427337408,2.96116339969472,2.56257636741964
55,11,40977.3993798983,1,0.0325775674427859,0.827313372399658,3.10314702242155,5.93806391191085
84,10,44719.3031512607,0,0.0608437900082208,0.977661850862205,3.13843622943081,4.5775061627357
406,8,60552.8585413534,1,0.0938502473174594,0.645541478646919,3.41075339022431,5.37410229310802
116,14,48414.9299899434,1,0.0942607205710374,0.825094543281011,2.90292379533977,5.45508545713763
19,8,31120.2705790974,0,0.0492357996292412,0.768179965438321,3.60729439724128,2.4761990742619
1753,16,75266.5356214117,0,0.0208364237914793,0.798725933302194,2.53924197856521,5.57117916048512
547,14,63670.8693769394,0,0.137198575562797,0.512449134723283,2.39577863977847,8.49849472628359
203,9,53561.4540873654,1,0.0898673950927332,0.502420869772322,2.38550691122309,4.67181999173039
874,6,68271.6291548872,0,0.112441064394079,0.565689127193764,3.37114851209326,4.67414657860309
15,15,29918.3856914754,1,0.13784321177518,0.512408551876433,2.95854002883039,7.79714401267493
377,10,59912.304466847,1,0.0793148093973286,0.546064725960605,3.39490896091025,6.7967924813659
64,13,42156.3143552987,1,0.0557968119042926,0.737779112067074,2.86614678922146,1.70301036323743
396,8,60256.1828277607,0,0.00987124816747382,0.598328380612656,2.70405394889359,5.45711394652437
127,7,49087.6706800989,0,0.128155488555785,0.90733697428368,2.81582371243675,8.30709446935547
368,7,59494.4106954718,0,0.0765616952092387,0.622029614052735,2.07369158787914,7.83055269983829
1045,11,70032.7642258909,0,0.031499708793126,0.744403818971477,2.41519236979294,5.83990320762846
144,9,50109.3513547535,0,0.0563765155035071,0.824441239819862,2.27898267682078,6.44244161422579
648,14,65263.3795542814,0,0.0311048249714077,0.579358235001564,3.52716113598767,2.60612957562263
28,15,32173.4894727803,0,0.0688861225848086,0.918488955474459,2.7013349543186,5.60026313376275
48,11,39175.9333934598,1,0.0362253375118598,0.718298264895566,3.39472992639509,3.09110212962436
1367,9,72788.2656708227,1,0.0178035483579151,0.616747762542218,3.75824530084598,4.08396386380611
248,10,55660.8195953589,1,0.0108703724574298,0.649427996017039,2.90411259544503,6.87120736755921
3,14,19216.6576934941,0,0.103648477478419,0.579710668418556,3.14193945317618,2.72621377661771
18,9,29539.4382187644,0,0.0430436428869143,0.792783552082255,2.12446624030196,5.53383650174612
105,5,46988.2847661632,0,0.0224118743324652,0.57438898854889,2.5906651112401,5.85666407894309
519,7,62986.6910650173,0,0.145864801376592,0.589529779856093,3.02810742469142,5.10982393967926
123,12,48471.7511642717,1,0.0615771585493348,0.66961075249128,3.14954345166808,8.64437764367083
360,11,59362.8120803098,0,0.0602720781345852,0.591950969421305,2.62030094135056,2.9553053428495
591,11,64385.0806668174,1,0.0972834522952326,0.702770761097781,4.3424294996134,6.2122605228712
1722,11,75065.8224329441,1,0.137445860949811,0.806779809179716,2.77080493045381,4.82213886509867
153,15,50840.2509991244,0,0.0324993208399974,0.842835667193867,3.03212177831502,4.47833551233215
130,11,49220.2714072865,0,0.0821998307830654,0.911762800067663,3.32489593357676,5.92818246770476
12,7,23701.439612866,1,0.10800756867975,0.686991056893021,2.986990682613,2.95919881863214
166,10,51489.9139113174,0,0.0595869007869624,0.976420502294786,2.67821630648644,2.37309816696319
61,6,41422.2491315666,1,0.0141002088901587,0.509416079497896,3.52265283198165,4.01103824903315
36,13,35389.8562579386,0,0.0952344607561827,0.806187486159615,3.8077726616036,8.5035142995109
109,13,47301.4065342869,1,0.000371821539010853,0.731786881922744,2.98515301447508,5.11152954922504
645,15,65224.1475911549,1,0.0315784859703854,0.677364810253493,3.28113367270153,5.66286879645577
8,10,20108.7726696713,1,0.101853421423584,0.941211514407769,2.95129375074868,4.62030672464492
76,8,43590.8106919186,0,0.129928369552363,0.537901429226622,3.50822760885108,5.94098546390765
170,10,51749.5592537406,1,0.119954567332752,0.94164559582714,2.42191630287007,3.09664091396571
40,17,36601.8864491757,0,0.020249459752813,0.594110917882062,4.16043011199724,7.31582093313728
231,16,55008.5441374884,0,0.0581247386522591,0.607533373404294,2.69823437610583,6.1694105204827
261,5,56171.448809236,1,0.118270789354574,0.934766145772301,2.27057529278095,3.38709435461659
136,6,49504.4576108601,1,0.103937049990054,0.530419028131291,2.82454108640347,5.10910649162398
3,11,13011.5270935996,1,0.0891409457079135,0.617449800367467,3.0733542420725,6.43266323899825
6607,5,88571.8721879996,0,0.0185786477057263,0.996507756412029,3.81181060384011,6.11546196410921
105,12,46920.511137977,1,0.0832617154112086,0.839098863885738,3.45560483838566,7.96386803175376
377,16,59767.8992238151,0,0.0674117081682198,0.717743400251493,3.07122921602289,3.7740244902103
213,5,54106.4973655482,1,0.114924979303032,0.68865497095976,2.30525823800592,7.23227323098079
657,2,65370.0985222752,0,0.00391465824795887,0.730592012172565,2.56698112766394,7.07309601988244
482,11,62264.8916956113,0,0.0292757147806697,0.900925935828127,2.91835753388535,4.67503373619429
106,6,46853.1024315724,1,0.132185184722766,0.831483487621881,4.2765130567303,3.04814661435623
252,9,55672.5165831276,1,0.0164702390204184,0.73300183203537,2.06988621289079,2.82170961823097
37,9,35818.8675331416,1,0.145282639190555,0.526629718253389,3.56552732592301,5.91557391588994
511,4,62853.8451634898,1,0.0577797889360227,0.61859895917587,2.73638287138304,4.85774653255821
73,13,43084.4249167347,0,0.128788711095694,0.616619868786074,3.83299544999371,8.5582053337029
5244,8,86251.6003068232,1,0.133107713190839,0.615326800383627,2.4303996800133,6.07027592099241
13,13,25234.2665646772,1,0.0733637247816659,0.530863136984408,3.07181161733137,4.25611024967301
72,6,43040.1913555098,0,0.107713771343697,0.748559304629453,2.45022452914862,2.94891550300577
485,14,62380.6979413886,1,0.073005835886579,0.622062544338405,3.45175821318084,3.8351966507895
302,12,57651.9882031799,0,0.148306329140905,0.879092769464478,3.74188974436904,5.68577678579466
59,8,41157.784422275,0,0.00971266943961382,0.773651338764466,3.97536050320058,4.0981307058867
32,11,35048.2888668872,1,0.0236494166892953,0.974033448146656,3.39880032879476,6.02846024046138
177,11,52167.1355706605,1,0.117802292760462,0.54308609617874,3.92163312728891,4.33132389566044
139,9,49785.3888024963,0,0.0813282434712164,0.973941292497329,3.62321195433082,4.78888018241105
10,10,23145.7814410391,0,0.0624821017845534,0.861199434031732,2.93406254408799,3.53898065438434
147,9,50518.2660070078,1,0.14983239735011,0.961002302356064,3.23851861914235,8.81008716981741
188,16,52853.4547353869,1,0.0383509675506502,0.806920471834019,2.51400289426203,5.66524346294079
184,7,52620.8959547276,0,0.0761813506716862,0.580483250669204,2.9073989152995,5.4612672809989
25,15,34174.7443609598,1,0.0118456766358577,0.59147034608759,3.61048185417441,1.61627517023187
286,6,57141.9991745394,0,0.122050254663918,0.865091781015508,3.27064207174118,6.31958379909865
1115,11,70678.5520543886,0,0.0573268740205094,0.794762825244106,3.22867866581266,2.95275282224058
281,8,56843.5460476972,0,0.120327406190336,0.656241181306541,2.4809344801564,3.2169568512914
24,6,32966.1729443849,1,0.0296885455143638,0.886397199472412,2.69774338483294,6.8366823420433
70,8,43465.3179546214,1,0.141959965531714,0.668149101082236,2.61769699312322,4.09459870698354
238,12,55191.5542933041,0,0.051850871136412,0.927838345523924,3.19764793500675,1.50325543999364
55,11,40294.315530226,0,0.0783075370942242,0.790264246752486,2.50474618476672,8.53980821977871
9,13,17635.3049747708,1,0.0167532009654678,0.707861325703561,3.28102069504953,0.245186149214959
531,10,63263.7623004231,0,0.132896227680612,0.966286392649636,2.44179179403323,6.14562305971917
44,12,37557.8358256322,1,0.143138245982118,0.73134942073375,3.91426522906768,7.03449849816922
60,8,41396.5959384758,1,0.00605711446842179,0.54967316496186,3.23029567473905,3.73806426667893
1339,10,72558.509135068,1,0.074042428296525,0.732724681613036,2.64949819387337,5.88857410282311
45,8,38387.8260559189,0,0.0339095557224937,0.992041928810067,3.12052296625061,5.87826077677711
499,10,62685.9731028394,0,0.128820050891954,0.962636432959698,2.82377340038602,7.08124630582902
21,7,31089.7568177184,0,0.0796403600717895,0.717699381755665,3.18557397987983,5.96819877590504
85,7,44681.8639538903,1,0.000695722620002925,0.934860357898287,3.12176635938015,4.51023244181495
125,11,48896.6597129528,1,0.0416340120253153,0.650177085888572,2.49294291366926,6.83198411588042
24,6,32470.2286336347,1,0.0487804714590311,0.898986315587536,2.60434306059026,6.60124471301953
53,5,40478.7760263664,0,0.0883059414918534,0.900255355983973,3.14979684236978,3.12686193172841
136,16,49567.3767060753,1,0.0374527051113546,0.693462848081253,3.81952595437578,2.19842513200854
385,14,60060.439531009,1,0.0064675921224989,0.69079484755639,3.54230850433546,5.32055507998636
13,9,25241.8018486234,0,0.0166018181364052,0.822757807094604,2.68771626319095,4.45207525044964
82,11,44753.686411831,0,0.105563071800862,0.930833727121353,3.41296145082375,3.02892177487541
440,8,61346.0965781823,0,0.140853185823653,0.828316335449927,2.97571582362186,5.16786135903007
62,8,41917.8626003361,0,0.0466753527056426,0.758163036778569,3.1506568258592,2.36000694702619
199,7,53409.3788250941,0,0.0117739395238459,0.57439079170581,3.13018074536828,5.3224527026524
299,7,57383.4285509665,0,0.0482616137014702,0.806382951443084,4.2877248818617,3.75014322491616
210,9,54017.5252299752,0,0.0937358305323869,0.52098340948578,2.40735559470639,6.91432854838496
375,10,59798.8651920707,1,0.0660362774273381,0.749179496313445,3.05045992950643,9.84897828232307
117,10,48159.3700853393,1,0.120201795094181,0.86975411081221,2.11001135601619,3.16804151262642
75,13,43794.8522961182,1,0.0418925707577728,0.876949889701791,3.29491796147938,7.11532834188595
4,8,10352.7657195653,1,0.0856069790082984,0.531546870595776,3.5483042358607,6.65029945553657
122,6,48605.8847228079,1,0.00631920180749148,0.721240966697223,3.72283112055058,4.85961155138928
268,10,56454.2704453998,0,0.028607618319802,0.750335849588737,2.03742737408144,4.09270725188597
315,18,58030.9826130223,0,0.109062970604282,0.635121550178155,3.20638474859701,8.15061541367497
63,10,41670.8247303012,1,0.124003507546149,0.799401074531488,3.79668497569183,0.989084363527506
2027,9,76692.5436466272,1,0.0766081613022834,0.867918813135475,2.79299206847885,3.71361041681267
215,6,54296.3662944324,1,0.0851589248632081,0.856788905919529,2.89392473395903,2.12631311268445
174,11,51894.7378768833,0,0.000173372961580753,0.55824646842666,2.98173138889763,7.79062687789215
954,13,69084.0016920278,1,0.0215667154756375,0.78756030916702,3.18250937571652,4.61859313471029
49,12,39223.0066802111,0,0.129895062453579,0.899065993609838,3.33257993787298,3.95065760106066
73,8,43244.9206411293,1,0.0123841590830125,0.615911898319609,3.65891044185574,11.3680889481327
5098,10,85961.7872007464,1,0.0366856023087166,0.862427912768908,2.9522562047775,4.89992546422474
143,7,50166.9378083133,1,0.147231473622378,0.919011598918587,3.09813902273623,4.11250137626695
1616,13,74503.5263211246,1,0.0866371919168159,0.559419285389595,4.24399893861073,5.59973050027229
13,12,28422.4003262822,1,0.037308954668697,0.979475198313594,3.2155494640575,1.86315075849006
105,6,47142.2479693565,0,0.0922430930659175,0.873882292187773,3.09437655466492,5.98060528534413
